fecha,Real del sol,tonanitla,VERDURAS,OXXO,REMOLQUE,AUTOPISTA,AMERICAS,PALOMAS,TOTAL DIARIO
12/06/2023,3057,1816,850,1552,,,,,7275
13/06/2023,0,0,0,0,0,0,0,0,0
14/06/2023,3167,1827,1400,1372,,,,,7766
15/06/2023,2925,1633,987,985,,,,,6530
16/06/2023,3347,2209,1009,786,,,,,7351
17/06/2023,0,0,0,0,0,0,0,0,0
18/06/2023,0,0,0,0,0,0,0,0,0
19/06/2023,3090,1975,760,343,,,,,6168
20/06/2023,0,0,0,0,0,0,0,0,0
21/06/2023,3126,1842,0,0,0,0,0,0,4968
22/06/2023,2791,1273,568,0,0,0,0,0,4632
23/06/2023,3691,1077,0,0,0,0,0,0,4768
24/06/2023,0,0,0,0,0,0,0,0,0
25/06/2023,0,0,0,0,0,0,0,0,0
26/06/2023,681,673,,,,,,,1354
27/06/2023,2074,1543,,,,,,,3617
28/06/2023,1090,943,,,,,,,2033
29/06/2023,1743,,,,,,,,1743
30/06/2023,2004,1170,,,,,,,3174
01/07/2023,3273,3854,857,1548,1915,,,,11447
02/07/2023,3273,5643,3706,3682,2700,,,,19004
03/07/2023,1602,2094,,,,,,,3696
04/07/2023,1752,1633,,,,,,,3385
05/07/2023,2523,1156,,,,,,,3679
06/07/2023,1426,1136,,,,,,,2562
07/07/2023,2238,965,,,,,,,3203
08/07/2023,5043,3595,1530,2061,2050,,,,14279
09/07/2023,8580,5294,3550,4123,1500,,,,23047
10/07/2023,,,,,,,,,0
11/07/2023,,,,,,,,,0
12/07/2023,,,,,,,,,0
13/07/2023,,,,,,,,,0
14/07/2023,,,,,,,,,0
15/07/2023,,,,,,,,,0
16/07/2023,,,,,,,,,0
17/07/2023,1265,1117,,,,,,,2382
18/07/2023,2019,1745,,,,,,,3764
19/07/2023,1907,1672,,,,,,,3579
20/07/2023,2367,1923,754,1437,,,,,6481
21/07/2023,1825,1495,494,1264,,,,,5078
22/07/2023,2964,4073,2365,1912,1290,2880,,,15484
23/07/2023,5440,4886,2643,2089,2465,2880,,,20403
24/07/2023,558,1992,,,,,,,2550
25/07/2023,,,,,,,,,0
26/07/2023,3114,1743,,,,,,,4857
27/07/2023,1077,110,,,,,,,1187
28/07/2023,2600,,,,,,,,2600
29/07/2023,4329,1644,1865,2414,1700,680,,,12632
30/07/2023,2770,1666,2056,2626,1400,2650,,,13168
31/07/2023,1948,569,,,,,,,2517
01/08/2023,1526,,,,,,,,1526
02/08/2023,2285,,,,,,,,2285
03/08/2023,1624,,258,1440,,,,,3322
04/08/2023,1862,,,,,,,,1862
05/08/2023,3963,1212,900,1900,1750,2040,,,11765
06/08/2023,6251,3257,4257,3900,4300,4400,,,26365
07/08/2023,2431,434,1526,1094,,,,,5485
08/08/2023,2441,400,,,,,,,2841
09/08/2023,3101,,,,,,,,3101
10/08/2023,1510,,406,1171,,,,,3087
11/08/2023,2607,,1227,1284,,,,,5118
12/08/2023,3942,1175,1595,2659,2900,1900,,,14171
13/08/2023,5004,4253,2616,4472,1700,5000,,,23045
14/08/2023,891,318,728,1014,1843,,,,4794
15/08/2023,1621,,,,,,,,1621
16/08/2023,649,810,,,,,,,1459
17/08/2023,1040,464,388,524,,,,,2416
18/08/2023,1482,837,,,,,,,2319
19/08/2023,4964,700,469,1629,,,,,7762
20/08/2023,3878,2349,2353,2960,1485,1980,,,15005
21/08/2023,931,1259,,,,,,,2190
22/08/2023,2601,1551,,,,,,,4152
23/08/2023,1275,1551,,,,,,,2826
24/08/2023,1241,949,,,,,,,2190
25/08/2023,1650,550,,,,,,,2200
26/08/2023,3175,901,1330,2700,2500,1780,,,12386
27/08/2023,6015,2689,2405,3380,2150,2190,,,18829
28/08/2023,824,501,,,,,,,1325
29/08/2023,2477,1200,,,,,,,3677
30/08/2023,2099,650,,,,,,,2749
31/08/2023,1494,1114,,,,,,,2608
01/09/2023,2107,1756,,,,,,,3863
02/09/2023,4400,3027,1670,3950,2480,1970,,,17497
03/09/2023,5700,4860,3099,5100,2400,4423,,,25582
04/09/2023,147,560,,,,,,,707
05/09/2023,520,994,,,,,,,1514
06/09/2023,745,1199,,,,,,,1944
07/09/2023,2771,1366,,,,,,,4137
08/09/2023,0,65,,,,,,,65
09/09/2023,3597,2300,1400,3756,,,,,11053
10/09/2023,7320,2006,2528,5003,1950,3998,,,22805
11/09/2023,1170,980,,,,,,,2150
12/09/2023,1443,1798,,,,,,,3241
13/09/2023,1943,538,,,,,,,2481
14/09/2023,1488,1346,,,,,,,2834
15/09/2023,2728,1594,,,,,,,4322
16/09/2023,6552,2407,1131,2500,2520,2450,,,17560
17/09/2023,6196,3138,2915,2700,1700,4455,,,21104
18/09/2023,964,212,,,,,,,1176
19/09/2023,1615,1550,,,,,,,3165
20/09/2023,1589,1354,,,,,,,2943
21/09/2023,2138,1075,,,,,,,3213
22/09/2023,2156,1293,,,,,,,3449
23/09/2023,3800,2269,1200,3200,1400,2200,,,14069
24/09/2023,7098,3669,3853,3700,2900,4475,,,25695
25/09/2023,3185,792,,,,,,,3977
26/09/2023,2900,1046,,,,,,,3946
